Step 0, overlap = 0.928, params = -63.2872, -27.7341, -0.0175, 0.7298
Step 1, overlap = 0.926, params = -63.2524, -27.7824, -0.0349, 0.7398
Step 2, overlap = 0.933, params = -63.2872, -27.7341, -0.0524, 0.7298
Step 3, overlap = 0.935, params = -63.3219, -27.6858, -0.0698, 0.7398
Step 4, overlap = 0.935, params = -63.2872, -27.7341, -0.0873, 0.7498
Step 5, overlap = 0.935, params = -63.3219, -27.6858, -0.1047, 0.7398
Step 6, overlap = 0.935, params = -63.2872, -27.7341, -0.0873, 0.7498
Step 7, overlap = 0.935, params = -63.2906, -27.7293, -0.0890, 0.7488
Step 8, overlap = 0.936, params = -63.2941, -27.7244, -0.0908, 0.7498
Step 9, overlap = 0.936, params = -63.2976, -27.7196, -0.0925, 0.7508
Step 10, overlap = 0.937, params = -63.3011, -27.7148, -0.0942, 0.7498
Step 11, overlap = 0.937, params = -63.2976, -27.7100, -0.0960, 0.7488
Step 12, overlap = 0.937, params = -63.2941, -27.7051, -0.0977, 0.7478
Step 13, overlap = 0.937, params = -63.2976, -27.7003, -0.0995, 0.7468
Step 14, overlap = 0.937, params = -63.2941, -27.6955, -0.1012, 0.7458
Step 15, overlap = 0.937, params = -63.2906, -27.7003, -0.1030, 0.7448
Step 16, overlap = 0.937, params = -63.2872, -27.6955, -0.1047, 0.7438
Step 17, overlap = 0.937, params = -63.2906, -27.7003, -0.1065, 0.7428
Step 18, overlap = 0.937, params = -63.2872, -27.7051, -0.1082, 0.7438
Step 19, overlap = 0.937, params = -63.2837, -27.7003, -0.1065, 0.7448
Step 20, overlap = 0.937, params = -63.2872, -27.6955, -0.1082, 0.7438
Step 21, overlap = 0.937, params = -63.2837, -27.7003, -0.1100, 0.7428
Step 22, overlap = 0.937, params = -63.2872, -27.6955, -0.1117, 0.7438
Step 23, overlap = 0.937, params = -63.2837, -27.7003, -0.1134, 0.7428
Step 24, overlap = 0.937, params = -63.2802, -27.6955, -0.1117, 0.7438
Step 25, overlap = 0.937, params = -63.2837, -27.7003, -0.1134, 0.7428
