Step 0, overlap = 0.859, params = -68.5421, -34.5742, -0.0175, 0.7262
Step 1, overlap = 0.861, params = -68.5010, -34.5185, -0.0349, 0.7162
Step 2, overlap = 0.861, params = -68.5421, -34.5742, -0.0524, 0.7062
Step 3, overlap = 0.861, params = -68.5831, -34.5185, -0.0698, 0.6962
Step 4, overlap = 0.861, params = -68.5421, -34.5742, -0.0873, 0.6862
Step 5, overlap = 0.862, params = -68.5831, -34.5185, -0.0698, 0.6762
Step 6, overlap = 0.863, params = -68.6242, -34.5742, -0.0873, 0.6662
Step 7, overlap = 0.862, params = -68.6652, -34.6300, -0.1047, 0.6562
Step 8, overlap = 0.864, params = -68.6242, -34.5742, -0.1222, 0.6462
Step 9, overlap = 0.864, params = -68.6652, -34.6300, -0.1396, 0.6362
Step 10, overlap = 0.864, params = -68.6242, -34.6857, -0.1571, 0.6262
Step 11, overlap = 0.864, params = -68.6652, -34.6300, -0.1745, 0.6162
Step 12, overlap = 0.865, params = -68.6242, -34.6857, -0.1571, 0.6062
Step 13, overlap = 0.866, params = -68.6652, -34.7415, -0.1745, 0.5962
Step 14, overlap = 0.866, params = -68.7063, -34.6857, -0.1920, 0.5862
Step 15, overlap = 0.867, params = -68.6652, -34.7415, -0.2094, 0.5762
Step 16, overlap = 0.864, params = -68.7063, -34.7973, -0.2269, 0.5862
Step 17, overlap = 0.866, params = -68.6652, -34.7415, -0.2443, 0.5762
Step 18, overlap = 0.864, params = -68.7063, -34.7973, -0.2269, 0.5862
Step 19, overlap = 0.865, params = -68.7022, -34.7917, -0.2286, 0.5872
Step 20, overlap = 0.865, params = -68.6981, -34.7861, -0.2269, 0.5882
Step 21, overlap = 0.865, params = -68.6940, -34.7805, -0.2251, 0.5872
Step 22, overlap = 0.866, params = -68.6899, -34.7750, -0.2234, 0.5882
Step 23, overlap = 0.866, params = -68.6858, -34.7694, -0.2217, 0.5872
Step 24, overlap = 0.866, params = -68.6817, -34.7638, -0.2199, 0.5862
Step 25, overlap = 0.866, params = -68.6775, -34.7582, -0.2182, 0.5852
Step 26, overlap = 0.866, params = -68.6734, -34.7526, -0.2164, 0.5842
Step 27, overlap = 0.867, params = -68.6775, -34.7471, -0.2147, 0.5832
Step 28, overlap = 0.867, params = -68.6734, -34.7415, -0.2129, 0.5822
Step 29, overlap = 0.867, params = -68.6693, -34.7359, -0.2112, 0.5812
Step 30, overlap = 0.867, params = -68.6734, -34.7303, -0.2094, 0.5802
Step 31, overlap = 0.867, params = -68.6693, -34.7248, -0.2077, 0.5792
Step 32, overlap = 0.867, params = -68.6734, -34.7192, -0.2059, 0.5782
Step 33, overlap = 0.867, params = -68.6775, -34.7248, -0.2042, 0.5772
Step 34, overlap = 0.867, params = -68.6817, -34.7192, -0.2025, 0.5782
Step 35, overlap = 0.867, params = -68.6775, -34.7248, -0.2007, 0.5772
Step 36, overlap = 0.867, params = -68.6734, -34.7192, -0.2025, 0.5782
Step 37, overlap = 0.867, params = -68.6775, -34.7248, -0.2007, 0.5772
