Step 0, overlap = 0.847, params = -58.4439, -34.6127, -0.0175, 1.1080
Step 1, overlap = 0.847, params = -58.4459, -34.6145, -0.0349, 1.1180
Step 2, overlap = 0.849, params = -58.4439, -34.6127, -0.0524, 1.1280
Step 3, overlap = 0.850, params = -58.4459, -34.6145, -0.0698, 1.1380
Step 4, overlap = 0.851, params = -58.4439, -34.6163, -0.0873, 1.1480
Step 5, overlap = 0.853, params = -58.4459, -34.6145, -0.1047, 1.1580
Step 6, overlap = 0.854, params = -58.4479, -34.6163, -0.1222, 1.1680
Step 7, overlap = 0.856, params = -58.4459, -34.6145, -0.1396, 1.1780
Step 8, overlap = 0.856, params = -58.4479, -34.6163, -0.1571, 1.1880
Step 9, overlap = 0.858, params = -58.4459, -34.6181, -0.1745, 1.1780
Step 10, overlap = 0.861, params = -58.4439, -34.6163, -0.1920, 1.1880
Step 11, overlap = 0.860, params = -58.4459, -34.6181, -0.2094, 1.1980
Step 12, overlap = 0.863, params = -58.4439, -34.6163, -0.2269, 1.1880
Step 13, overlap = 0.863, params = -58.4459, -34.6181, -0.2443, 1.1980
Step 14, overlap = 0.865, params = -58.4439, -34.6163, -0.2618, 1.1880
Step 15, overlap = 0.865, params = -58.4459, -34.6181, -0.2793, 1.1980
Step 16, overlap = 0.866, params = -58.4439, -34.6199, -0.2967, 1.1880
Step 17, overlap = 0.868, params = -58.4459, -34.6181, -0.3142, 1.1780
Step 18, overlap = 0.868, params = -58.4439, -34.6199, -0.3316, 1.1680
Step 19, overlap = 0.870, params = -58.4459, -34.6181, -0.3491, 1.1780
Step 20, overlap = 0.868, params = -58.4479, -34.6199, -0.3665, 1.1680
Step 21, overlap = 0.872, params = -58.4459, -34.6181, -0.3840, 1.1580
Step 22, overlap = 0.872, params = -58.4479, -34.6163, -0.4014, 1.1480
Step 23, overlap = 0.873, params = -58.4459, -34.6181, -0.4189, 1.1380
Step 24, overlap = 0.874, params = -58.4479, -34.6163, -0.4014, 1.1280
Step 25, overlap = 0.872, params = -58.4498, -34.6181, -0.4189, 1.1180
Step 26, overlap = 0.872, params = -58.4479, -34.6199, -0.4363, 1.1080
Step 27, overlap = 0.875, params = -58.4498, -34.6181, -0.4538, 1.0980
Step 28, overlap = 0.877, params = -58.4479, -34.6163, -0.4712, 1.0880
Step 29, overlap = 0.876, params = -58.4498, -34.6181, -0.4887, 1.0780
Step 30, overlap = 0.878, params = -58.4479, -34.6163, -0.5061, 1.0680
Step 31, overlap = 0.879, params = -58.4498, -34.6181, -0.5236, 1.0580
Step 32, overlap = 0.880, params = -58.4479, -34.6163, -0.5411, 1.0480
Step 33, overlap = 0.882, params = -58.4498, -34.6181, -0.5585, 1.0380
Step 34, overlap = 0.883, params = -58.4479, -34.6199, -0.5760, 1.0280
Step 35, overlap = 0.885, params = -58.4498, -34.6181, -0.5934, 1.0180
Step 36, overlap = 0.883, params = -58.4518, -34.6199, -0.6109, 1.0080
Step 37, overlap = 0.886, params = -58.4498, -34.6181, -0.6283, 0.9980
Step 38, overlap = 0.886, params = -58.4518, -34.6199, -0.6109, 0.9880
Step 39, overlap = 0.886, params = -58.4498, -34.6181, -0.6283, 0.9780
Step 40, overlap = 0.887, params = -58.4518, -34.6199, -0.6458, 0.9880
Step 41, overlap = 0.883, params = -58.4538, -34.6216, -0.6632, 0.9780
Step 42, overlap = 0.888, params = -58.4518, -34.6199, -0.6807, 0.9680
Step 43, overlap = 0.883, params = -58.4538, -34.6216, -0.6632, 0.9580
Step 44, overlap = 0.888, params = -58.4518, -34.6199, -0.6807, 0.9680
