Step 0, overlap = 0.813, params = -68.8504, -30.8230, 0.0175, 0.9321
Step 1, overlap = 0.813, params = -68.8895, -30.7806, 0.0000, 0.9421
Step 2, overlap = 0.815, params = -68.8504, -30.8230, 0.0175, 0.9521
Step 3, overlap = 0.817, params = -68.8113, -30.7806, 0.0000, 0.9621
Step 4, overlap = 0.817, params = -68.8504, -30.8230, -0.0175, 0.9721
Step 5, overlap = 0.819, params = -68.8113, -30.8654, 0.0000, 0.9821
Step 6, overlap = 0.819, params = -68.8504, -30.8230, -0.0175, 0.9921
Step 7, overlap = 0.821, params = -68.8113, -30.8654, 0.0000, 1.0021
Step 8, overlap = 0.819, params = -68.8504, -30.9077, -0.0175, 1.0121
Step 9, overlap = 0.822, params = -68.8113, -30.8654, 0.0000, 1.0221
Step 10, overlap = 0.821, params = -68.8504, -30.9077, -0.0175, 1.0321
Step 11, overlap = 0.823, params = -68.8113, -30.8654, 0.0000, 1.0421
Step 12, overlap = 0.822, params = -68.8504, -30.9077, -0.0175, 1.0521
Step 13, overlap = 0.824, params = -68.8113, -30.9501, 0.0000, 1.0621
Step 14, overlap = 0.824, params = -68.8504, -30.9077, -0.0175, 1.0721
Step 15, overlap = 0.826, params = -68.8113, -30.9501, -0.0349, 1.0821
Step 16, overlap = 0.826, params = -68.7723, -30.9925, -0.0524, 1.0921
Step 17, overlap = 0.827, params = -68.8113, -30.9501, -0.0698, 1.1021
Step 18, overlap = 0.829, params = -68.7723, -30.9925, -0.0873, 1.1121
Step 19, overlap = 0.831, params = -68.7332, -30.9501, -0.1047, 1.1221
Step 20, overlap = 0.831, params = -68.7723, -30.9925, -0.1222, 1.1321
Step 21, overlap = 0.834, params = -68.7332, -30.9501, -0.1396, 1.1421
Step 22, overlap = 0.833, params = -68.7723, -30.9925, -0.1571, 1.1521
Step 23, overlap = 0.836, params = -68.7332, -30.9501, -0.1745, 1.1421
Step 24, overlap = 0.834, params = -68.7723, -30.9925, -0.1920, 1.1521
Step 25, overlap = 0.840, params = -68.7332, -30.9501, -0.2094, 1.1621
Step 26, overlap = 0.841, params = -68.6941, -30.9925, -0.2269, 1.1721
Step 27, overlap = 0.842, params = -68.7332, -30.9501, -0.2443, 1.1821
Step 28, overlap = 0.844, params = -68.6941, -30.9925, -0.2618, 1.1921
Step 29, overlap = 0.843, params = -68.7332, -30.9501, -0.2793, 1.2021
Step 30, overlap = 0.845, params = -68.6941, -30.9925, -0.2967, 1.2121
Step 31, overlap = 0.842, params = -68.7332, -31.0349, -0.3142, 1.2021
Step 32, overlap = 0.844, params = -68.6941, -30.9925, -0.3316, 1.2121
Step 33, overlap = 0.842, params = -68.7332, -31.0349, -0.3142, 1.2021
Step 34, overlap = 0.842, params = -68.7293, -31.0306, -0.3159, 1.2031
Step 35, overlap = 0.843, params = -68.7254, -31.0264, -0.3176, 1.2041
Step 36, overlap = 0.843, params = -68.7215, -31.0222, -0.3159, 1.2031
Step 37, overlap = 0.843, params = -68.7176, -31.0179, -0.3142, 1.2021
Step 38, overlap = 0.844, params = -68.7137, -31.0137, -0.3124, 1.2011
Step 39, overlap = 0.844, params = -68.7097, -31.0094, -0.3107, 1.2021
Step 40, overlap = 0.844, params = -68.7058, -31.0052, -0.3089, 1.2031
Step 41, overlap = 0.844, params = -68.7019, -31.0010, -0.3072, 1.2021
Step 42, overlap = 0.845, params = -68.6980, -30.9967, -0.3054, 1.2011
Step 43, overlap = 0.845, params = -68.6941, -30.9925, -0.3037, 1.2001
Step 44, overlap = 0.845, params = -68.6980, -30.9883, -0.3019, 1.2011
Step 45, overlap = 0.845, params = -68.6941, -30.9840, -0.3002, 1.2001
Step 46, overlap = 0.845, params = -68.6980, -30.9883, -0.2985, 1.1991
Step 47, overlap = 0.845, params = -68.6941, -30.9840, -0.2967, 1.1981
Step 48, overlap = 0.845, params = -68.6980, -30.9883, -0.2950, 1.1991
Step 49, overlap = 0.845, params = -68.6941, -30.9840, -0.2932, 1.1981
Step 50, overlap = 0.845, params = -68.6980, -30.9883, -0.2915, 1.1991
Step 51, overlap = 0.845, params = -68.6941, -30.9840, -0.2897, 1.1981
Step 52, overlap = 0.845, params = -68.6980, -30.9883, -0.2880, 1.1971
Step 53, overlap = 0.845, params = -68.7019, -30.9840, -0.2862, 1.1961
Step 54, overlap = 0.845, params = -68.6980, -30.9798, -0.2845, 1.1951
Step 55, overlap = 0.845, params = -68.6941, -30.9840, -0.2827, 1.1941
Step 56, overlap = 0.845, params = -68.6980, -30.9798, -0.2845, 1.1951
