Step 0, overlap = 0.834, params = -57.7603, -28.8091, -0.0175, 1.1673
Step 1, overlap = 0.839, params = -57.7194, -28.7743, -0.0349, 1.1573
Step 2, overlap = 0.840, params = -57.6785, -28.8091, -0.0524, 1.1473
Step 3, overlap = 0.845, params = -57.6375, -28.7743, -0.0698, 1.1373
Step 4, overlap = 0.846, params = -57.6785, -28.7395, -0.0873, 1.1273
Step 5, overlap = 0.849, params = -57.6375, -28.7743, -0.1047, 1.1173
Step 6, overlap = 0.850, params = -57.6785, -28.7395, -0.1222, 1.1073
Step 7, overlap = 0.852, params = -57.6375, -28.7743, -0.1396, 1.0973
Step 8, overlap = 0.851, params = -57.6785, -28.8091, -0.1571, 1.0873
Step 9, overlap = 0.853, params = -57.7194, -28.7743, -0.1745, 1.0773
Step 10, overlap = 0.854, params = -57.6785, -28.8091, -0.1920, 1.0673
Step 11, overlap = 0.855, params = -57.7194, -28.7743, -0.1745, 1.0573
Step 12, overlap = 0.857, params = -57.6785, -28.8091, -0.1920, 1.0473
Step 13, overlap = 0.857, params = -57.7194, -28.8438, -0.2094, 1.0373
Step 14, overlap = 0.860, params = -57.6785, -28.8091, -0.2269, 1.0273
Step 15, overlap = 0.860, params = -57.7194, -28.8438, -0.2094, 1.0173
Step 16, overlap = 0.862, params = -57.7603, -28.8091, -0.2269, 1.0073
Step 17, overlap = 0.863, params = -57.7194, -28.8438, -0.2443, 0.9973
Step 18, overlap = 0.864, params = -57.7603, -28.8786, -0.2618, 0.9873
Step 19, overlap = 0.866, params = -57.8012, -28.8438, -0.2793, 0.9773
Step 20, overlap = 0.867, params = -57.7603, -28.8786, -0.2967, 0.9673
Step 21, overlap = 0.870, params = -57.8012, -28.8438, -0.2793, 0.9573
Step 22, overlap = 0.870, params = -57.8421, -28.8786, -0.2967, 0.9473
Step 23, overlap = 0.872, params = -57.8012, -28.8438, -0.3142, 0.9373
Step 24, overlap = 0.872, params = -57.8421, -28.8786, -0.2967, 0.9273
Step 25, overlap = 0.874, params = -57.8012, -28.8438, -0.3142, 0.9173
Step 26, overlap = 0.874, params = -57.8421, -28.8786, -0.2967, 0.9073
Step 27, overlap = 0.873, params = -57.8012, -28.9133, -0.3142, 0.8973
Step 28, overlap = 0.876, params = -57.8421, -28.8786, -0.3316, 0.8873
Step 29, overlap = 0.874, params = -57.8831, -28.9133, -0.3491, 0.8773
Step 30, overlap = 0.877, params = -57.8421, -28.8786, -0.3665, 0.8673
Step 31, overlap = 0.875, params = -57.8831, -28.9133, -0.3840, 0.8573
Step 32, overlap = 0.877, params = -57.8421, -28.8786, -0.3665, 0.8473
Step 33, overlap = 0.875, params = -57.8831, -28.9133, -0.3840, 0.8573
Step 34, overlap = 0.875, params = -57.8790, -28.9099, -0.3822, 0.8563
Step 35, overlap = 0.876, params = -57.8749, -28.9064, -0.3805, 0.8553
Step 36, overlap = 0.876, params = -57.8708, -28.9029, -0.3787, 0.8543
Step 37, overlap = 0.876, params = -57.8667, -28.8994, -0.3770, 0.8533
Step 38, overlap = 0.877, params = -57.8626, -28.8960, -0.3752, 0.8523
Step 39, overlap = 0.877, params = -57.8585, -28.8925, -0.3735, 0.8513
Step 40, overlap = 0.877, params = -57.8544, -28.8890, -0.3718, 0.8503
Step 41, overlap = 0.877, params = -57.8585, -28.8855, -0.3735, 0.8493
Step 42, overlap = 0.877, params = -57.8544, -28.8821, -0.3718, 0.8483
Step 43, overlap = 0.877, params = -57.8585, -28.8855, -0.3735, 0.8473
Step 44, overlap = 0.877, params = -57.8544, -28.8821, -0.3752, 0.8463
Step 45, overlap = 0.877, params = -57.8585, -28.8855, -0.3770, 0.8453
Step 46, overlap = 0.877, params = -57.8544, -28.8890, -0.3752, 0.8443
Step 47, overlap = 0.877, params = -57.8585, -28.8855, -0.3770, 0.8433
Step 48, overlap = 0.877, params = -57.8626, -28.8890, -0.3787, 0.8423
Step 49, overlap = 0.877, params = -57.8585, -28.8855, -0.3770, 0.8413
Step 50, overlap = 0.877, params = -57.8626, -28.8890, -0.3787, 0.8403
Step 51, overlap = 0.877, params = -57.8585, -28.8855, -0.3770, 0.8393
Step 52, overlap = 0.877, params = -57.8626, -28.8890, -0.3787, 0.8383
Step 53, overlap = 0.877, params = -57.8667, -28.8855, -0.3805, 0.8373
Step 54, overlap = 0.877, params = -57.8626, -28.8890, -0.3787, 0.8363
Step 55, overlap = 0.877, params = -57.8667, -28.8925, -0.3805, 0.8353
Step 56, overlap = 0.877, params = -57.8626, -28.8890, -0.3787, 0.8343
Step 57, overlap = 0.877, params = -57.8667, -28.8925, -0.3805, 0.8353
