Step 0, overlap = 0.842, params = -65.4958, -37.0882, 0.0175, 1.1445
Step 1, overlap = 0.846, params = -65.4467, -37.0449, 0.0349, 1.1545
Step 2, overlap = 0.846, params = -65.4958, -37.0882, 0.0175, 1.1645
Step 3, overlap = 0.847, params = -65.4467, -37.0449, 0.0349, 1.1745
Step 4, overlap = 0.850, params = -65.4958, -37.0882, 0.0175, 1.1845
Step 5, overlap = 0.849, params = -65.4467, -37.1316, 0.0000, 1.1945
Step 6, overlap = 0.850, params = -65.4958, -37.0882, 0.0175, 1.1845
Step 7, overlap = 0.850, params = -65.4909, -37.0839, 0.0192, 1.1855
Step 8, overlap = 0.851, params = -65.4860, -37.0796, 0.0175, 1.1865
Step 9, overlap = 0.851, params = -65.4810, -37.0839, 0.0157, 1.1875
Step 10, overlap = 0.852, params = -65.4761, -37.0796, 0.0140, 1.1885
Step 11, overlap = 0.852, params = -65.4712, -37.0839, 0.0122, 1.1895
Step 12, overlap = 0.852, params = -65.4761, -37.0796, 0.0105, 1.1905
Step 13, overlap = 0.853, params = -65.4712, -37.0839, 0.0087, 1.1915
Step 14, overlap = 0.853, params = -65.4761, -37.0796, 0.0070, 1.1925
Step 15, overlap = 0.853, params = -65.4712, -37.0839, 0.0052, 1.1935
Step 16, overlap = 0.853, params = -65.4761, -37.0796, 0.0035, 1.1945
Step 17, overlap = 0.854, params = -65.4712, -37.0839, 0.0017, 1.1955
Step 18, overlap = 0.854, params = -65.4761, -37.0796, -0.0000, 1.1965
Step 19, overlap = 0.854, params = -65.4712, -37.0839, -0.0017, 1.1975
Step 20, overlap = 0.854, params = -65.4761, -37.0796, -0.0000, 1.1985
Step 21, overlap = 0.854, params = -65.4810, -37.0839, -0.0017, 1.1995
Step 22, overlap = 0.854, params = -65.4761, -37.0882, -0.0000, 1.2005
Step 23, overlap = 0.854, params = -65.4810, -37.0839, -0.0017, 1.2015
Step 24, overlap = 0.854, params = -65.4761, -37.0882, -0.0035, 1.2025
Step 25, overlap = 0.854, params = -65.4810, -37.0839, -0.0017, 1.2035
Step 26, overlap = 0.854, params = -65.4860, -37.0882, -0.0035, 1.2045
Step 27, overlap = 0.855, params = -65.4810, -37.0839, -0.0017, 1.2055
Step 28, overlap = 0.854, params = -65.4860, -37.0882, -0.0000, 1.2065
Step 29, overlap = 0.855, params = -65.4810, -37.0926, 0.0017, 1.2075
Step 30, overlap = 0.855, params = -65.4860, -37.0882, -0.0000, 1.2085
Step 31, overlap = 0.855, params = -65.4810, -37.0926, 0.0017, 1.2095
Step 32, overlap = 0.855, params = -65.4860, -37.0969, -0.0000, 1.2085
Step 33, overlap = 0.855, params = -65.4810, -37.0926, 0.0017, 1.2095
