Step 0, overlap = 0.662, params = -54.6276, -26.8487, -0.0175, 0.9169
Step 1, overlap = 0.670, params = -54.6033, -26.8220, -0.0349, 0.9269
Step 2, overlap = 0.678, params = -54.5791, -26.7953, -0.0524, 0.9369
Step 3, overlap = 0.683, params = -54.5549, -26.7686, -0.0698, 0.9469
Step 4, overlap = 0.686, params = -54.5307, -26.7419, -0.0873, 0.9569
Step 5, overlap = 0.686, params = -54.5549, -26.7152, -0.0698, 0.9469
Step 6, overlap = 0.687, params = -54.5307, -26.7419, -0.0524, 0.9369
Step 7, overlap = 0.687, params = -54.5549, -26.7152, -0.0349, 0.9269
Step 8, overlap = 0.691, params = -54.5307, -26.6885, -0.0175, 0.9369
Step 9, overlap = 0.694, params = -54.5065, -26.6618, -0.0000, 0.9269
Step 10, overlap = 0.694, params = -54.5307, -26.6351, 0.0175, 0.9169
Step 11, overlap = 0.698, params = -54.5065, -26.6084, 0.0349, 0.9069
Step 12, overlap = 0.696, params = -54.5307, -26.6351, 0.0524, 0.8969
Step 13, overlap = 0.701, params = -54.5065, -26.6084, 0.0698, 0.8869
Step 14, overlap = 0.703, params = -54.4823, -26.5817, 0.0873, 0.8769
Step 15, overlap = 0.703, params = -54.5065, -26.6084, 0.1047, 0.8669
Step 16, overlap = 0.706, params = -54.4823, -26.5817, 0.1222, 0.8569
Step 17, overlap = 0.702, params = -54.5065, -26.6084, 0.1396, 0.8469
Step 18, overlap = 0.706, params = -54.4823, -26.5817, 0.1222, 0.8569
Step 19, overlap = 0.706, params = -54.4847, -26.5791, 0.1239, 0.8559
Step 20, overlap = 0.706, params = -54.4871, -26.5764, 0.1257, 0.8549
Step 21, overlap = 0.706, params = -54.4895, -26.5791, 0.1274, 0.8539
Step 22, overlap = 0.706, params = -54.4920, -26.5817, 0.1292, 0.8529
Step 23, overlap = 0.706, params = -54.4895, -26.5791, 0.1309, 0.8519
Step 24, overlap = 0.706, params = -54.4871, -26.5764, 0.1326, 0.8509
Step 25, overlap = 0.706, params = -54.4895, -26.5737, 0.1344, 0.8499
Step 26, overlap = 0.706, params = -54.4871, -26.5764, 0.1361, 0.8489
Step 27, overlap = 0.706, params = -54.4895, -26.5737, 0.1379, 0.8479
Step 28, overlap = 0.706, params = -54.4871, -26.5764, 0.1361, 0.8469
Step 29, overlap = 0.707, params = -54.4895, -26.5737, 0.1344, 0.8459
Step 30, overlap = 0.707, params = -54.4871, -26.5711, 0.1326, 0.8449
Step 31, overlap = 0.707, params = -54.4847, -26.5737, 0.1344, 0.8439
Step 32, overlap = 0.707, params = -54.4871, -26.5711, 0.1326, 0.8429
Step 33, overlap = 0.707, params = -54.4847, -26.5737, 0.1309, 0.8419
Step 34, overlap = 0.707, params = -54.4871, -26.5711, 0.1292, 0.8409
Step 35, overlap = 0.707, params = -54.4847, -26.5737, 0.1309, 0.8399
Step 36, overlap = 0.707, params = -54.4871, -26.5711, 0.1292, 0.8389
Step 37, overlap = 0.707, params = -54.4847, -26.5737, 0.1274, 0.8379
Step 38, overlap = 0.707, params = -54.4823, -26.5711, 0.1257, 0.8369
Step 39, overlap = 0.707, params = -54.4847, -26.5737, 0.1239, 0.8359
Step 40, overlap = 0.707, params = -54.4823, -26.5711, 0.1222, 0.8349
Step 41, overlap = 0.707, params = -54.4799, -26.5684, 0.1204, 0.8339
Step 42, overlap = 0.707, params = -54.4823, -26.5711, 0.1187, 0.8329
Step 43, overlap = 0.707, params = -54.4799, -26.5684, 0.1169, 0.8319
Step 44, overlap = 0.707, params = -54.4823, -26.5711, 0.1152, 0.8309
Step 45, overlap = 0.707, params = -54.4799, -26.5684, 0.1169, 0.8299
Step 46, overlap = 0.707, params = -54.4774, -26.5711, 0.1152, 0.8289
Step 47, overlap = 0.708, params = -54.4799, -26.5684, 0.1134, 0.8279
Step 48, overlap = 0.708, params = -54.4774, -26.5711, 0.1117, 0.8269
Step 49, overlap = 0.708, params = -54.4799, -26.5684, 0.1100, 0.8259
Step 50, overlap = 0.708, params = -54.4774, -26.5711, 0.1082, 0.8249
Step 51, overlap = 0.708, params = -54.4750, -26.5684, 0.1065, 0.8239
Step 52, overlap = 0.708, params = -54.4774, -26.5657, 0.1047, 0.8229
Step 53, overlap = 0.708, params = -54.4750, -26.5684, 0.1030, 0.8219
Step 54, overlap = 0.708, params = -54.4726, -26.5657, 0.1012, 0.8209
Step 55, overlap = 0.708, params = -54.4750, -26.5684, 0.0995, 0.8199
Step 56, overlap = 0.708, params = -54.4726, -26.5657, 0.0977, 0.8189
Step 57, overlap = 0.708, params = -54.4702, -26.5684, 0.0960, 0.8179
Step 58, overlap = 0.708, params = -54.4726, -26.5657, 0.0942, 0.8169
Step 59, overlap = 0.708, params = -54.4702, -26.5684, 0.0925, 0.8159
Step 60, overlap = 0.708, params = -54.4678, -26.5657, 0.0908, 0.8149
Step 61, overlap = 0.708, params = -54.4702, -26.5684, 0.0890, 0.8139
Step 62, overlap = 0.708, params = -54.4678, -26.5657, 0.0873, 0.8129
Step 63, overlap = 0.709, params = -54.4653, -26.5684, 0.0855, 0.8119
Step 64, overlap = 0.709, params = -54.4678, -26.5657, 0.0838, 0.8109
Step 65, overlap = 0.709, params = -54.4653, -26.5684, 0.0820, 0.8099
Step 66, overlap = 0.709, params = -54.4629, -26.5657, 0.0803, 0.8089
Step 67, overlap = 0.709, params = -54.4653, -26.5684, 0.0785, 0.8079
Step 68, overlap = 0.709, params = -54.4629, -26.5711, 0.0768, 0.8069
Step 69, overlap = 0.709, params = -54.4605, -26.5684, 0.0750, 0.8059
Step 70, overlap = 0.709, params = -54.4629, -26.5711, 0.0733, 0.8049
Step 71, overlap = 0.709, params = -54.4605, -26.5684, 0.0716, 0.8039
Step 72, overlap = 0.709, params = -54.4581, -26.5711, 0.0698, 0.8029
Step 73, overlap = 0.709, params = -54.4556, -26.5684, 0.0681, 0.8019
Step 74, overlap = 0.709, params = -54.4581, -26.5711, 0.0663, 0.8009
Step 75, overlap = 0.709, params = -54.4556, -26.5684, 0.0646, 0.7999
Step 76, overlap = 0.709, params = -54.4532, -26.5711, 0.0628, 0.7989
Step 77, overlap = 0.709, params = -54.4556, -26.5684, 0.0611, 0.7979
Step 78, overlap = 0.709, params = -54.4532, -26.5711, 0.0593, 0.7969
Step 79, overlap = 0.710, params = -54.4508, -26.5684, 0.0576, 0.7959
Step 80, overlap = 0.710, params = -54.4532, -26.5657, 0.0559, 0.7949
Step 81, overlap = 0.710, params = -54.4508, -26.5684, 0.0541, 0.7939
Step 82, overlap = 0.710, params = -54.4532, -26.5657, 0.0524, 0.7929
Step 83, overlap = 0.710, params = -54.4508, -26.5684, 0.0506, 0.7919
Step 84, overlap = 0.710, params = -54.4532, -26.5657, 0.0489, 0.7909
Step 85, overlap = 0.710, params = -54.4508, -26.5684, 0.0471, 0.7899
Step 86, overlap = 0.710, params = -54.4484, -26.5657, 0.0454, 0.7889
Step 87, overlap = 0.710, params = -54.4508, -26.5684, 0.0436, 0.7879
Step 88, overlap = 0.710, params = -54.4484, -26.5657, 0.0419, 0.7869
Step 89, overlap = 0.710, params = -54.4508, -26.5684, 0.0401, 0.7859
Step 90, overlap = 0.710, params = -54.4484, -26.5657, 0.0384, 0.7849
Step 91, overlap = 0.710, params = -54.4460, -26.5684, 0.0367, 0.7839
Step 92, overlap = 0.710, params = -54.4484, -26.5657, 0.0349, 0.7829
Step 93, overlap = 0.711, params = -54.4460, -26.5684, 0.0332, 0.7819
Step 94, overlap = 0.711, params = -54.4484, -26.5657, 0.0314, 0.7809
Step 95, overlap = 0.711, params = -54.4460, -26.5684, 0.0297, 0.7799
Step 96, overlap = 0.711, params = -54.4484, -26.5657, 0.0279, 0.7789
Step 97, overlap = 0.711, params = -54.4460, -26.5684, 0.0262, 0.7779
Step 98, overlap = 0.711, params = -54.4435, -26.5657, 0.0244, 0.7769
Step 99, overlap = 0.711, params = -54.4460, -26.5684, 0.0227, 0.7759
Step 100, overlap = 0.711, params = -54.4435, -26.5657, 0.0209, 0.7749
Step 101, overlap = 0.711, params = -54.4411, -26.5684, 0.0192, 0.7739
Step 102, overlap = 0.711, params = -54.4435, -26.5657, 0.0175, 0.7729
Step 103, overlap = 0.711, params = -54.4411, -26.5684, 0.0157, 0.7719
Step 104, overlap = 0.711, params = -54.4435, -26.5657, 0.0140, 0.7709
Step 105, overlap = 0.711, params = -54.4411, -26.5684, 0.0122, 0.7699
Step 106, overlap = 0.712, params = -54.4387, -26.5657, 0.0105, 0.7689
Step 107, overlap = 0.712, params = -54.4363, -26.5684, 0.0087, 0.7679
Step 108, overlap = 0.712, params = -54.4387, -26.5657, 0.0070, 0.7669
Step 109, overlap = 0.712, params = -54.4363, -26.5684, 0.0052, 0.7659
Step 110, overlap = 0.712, params = -54.4339, -26.5657, 0.0035, 0.7649
Step 111, overlap = 0.712, params = -54.4363, -26.5684, 0.0017, 0.7639
Step 112, overlap = 0.712, params = -54.4339, -26.5657, -0.0000, 0.7629
Step 113, overlap = 0.712, params = -54.4314, -26.5684, -0.0017, 0.7619
Step 114, overlap = 0.712, params = -54.4339, -26.5657, -0.0035, 0.7609
Step 115, overlap = 0.712, params = -54.4314, -26.5684, -0.0052, 0.7599
Step 116, overlap = 0.712, params = -54.4339, -26.5657, -0.0070, 0.7589
Step 117, overlap = 0.712, params = -54.4314, -26.5684, -0.0087, 0.7579
Step 118, overlap = 0.713, params = -54.4290, -26.5657, -0.0105, 0.7569
Step 119, overlap = 0.713, params = -54.4314, -26.5684, -0.0122, 0.7559
Step 120, overlap = 0.713, params = -54.4290, -26.5657, -0.0140, 0.7549
Step 121, overlap = 0.713, params = -54.4314, -26.5684, -0.0157, 0.7539
