Step 0, overlap = 0.736, params = -67.1396, -29.7287, 0.0175, 0.9923
Step 1, overlap = 0.737, params = -67.1817, -29.7715, 0.0000, 1.0023
Step 2, overlap = 0.737, params = -67.1396, -29.8144, -0.0175, 1.0123
Step 3, overlap = 0.737, params = -67.1817, -29.7715, -0.0349, 1.0023
Step 4, overlap = 0.737, params = -67.1396, -29.8144, -0.0175, 1.0123
Step 5, overlap = 0.737, params = -67.1354, -29.8101, -0.0192, 1.0113
Step 6, overlap = 0.737, params = -67.1396, -29.8058, -0.0209, 1.0103
Step 7, overlap = 0.737, params = -67.1354, -29.8015, -0.0227, 1.0093
Step 8, overlap = 0.737, params = -67.1396, -29.7973, -0.0244, 1.0083
Step 9, overlap = 0.738, params = -67.1354, -29.7930, -0.0262, 1.0073
Step 10, overlap = 0.738, params = -67.1396, -29.7887, -0.0279, 1.0063
Step 11, overlap = 0.738, params = -67.1354, -29.7844, -0.0297, 1.0073
Step 12, overlap = 0.738, params = -67.1396, -29.7887, -0.0314, 1.0083
Step 13, overlap = 0.738, params = -67.1438, -29.7844, -0.0332, 1.0093
Step 14, overlap = 0.738, params = -67.1396, -29.7887, -0.0349, 1.0103
Step 15, overlap = 0.738, params = -67.1438, -29.7930, -0.0367, 1.0113
Step 16, overlap = 0.738, params = -67.1396, -29.7887, -0.0384, 1.0123
Step 17, overlap = 0.738, params = -67.1438, -29.7930, -0.0401, 1.0133
Step 18, overlap = 0.738, params = -67.1396, -29.7887, -0.0419, 1.0143
Step 19, overlap = 0.738, params = -67.1438, -29.7930, -0.0436, 1.0153
Step 20, overlap = 0.738, params = -67.1396, -29.7887, -0.0454, 1.0163
Step 21, overlap = 0.738, params = -67.1438, -29.7930, -0.0471, 1.0173
Step 22, overlap = 0.738, params = -67.1396, -29.7887, -0.0489, 1.0183
Step 23, overlap = 0.738, params = -67.1438, -29.7930, -0.0506, 1.0193
Step 24, overlap = 0.738, params = -67.1396, -29.7887, -0.0524, 1.0203
Step 25, overlap = 0.738, params = -67.1438, -29.7930, -0.0541, 1.0213
Step 26, overlap = 0.738, params = -67.1480, -29.7973, -0.0559, 1.0223
Step 27, overlap = 0.738, params = -67.1438, -29.7930, -0.0576, 1.0233
Step 28, overlap = 0.738, params = -67.1480, -29.7973, -0.0593, 1.0243
Step 29, overlap = 0.738, params = -67.1438, -29.7930, -0.0611, 1.0253
Step 30, overlap = 0.738, params = -67.1480, -29.7973, -0.0628, 1.0263
Step 31, overlap = 0.738, params = -67.1438, -29.7930, -0.0646, 1.0273
Step 32, overlap = 0.738, params = -67.1480, -29.7973, -0.0663, 1.0283
Step 33, overlap = 0.739, params = -67.1438, -29.7930, -0.0681, 1.0293
Step 34, overlap = 0.739, params = -67.1480, -29.7973, -0.0698, 1.0303
Step 35, overlap = 0.739, params = -67.1438, -29.7930, -0.0716, 1.0313
Step 36, overlap = 0.739, params = -67.1480, -29.7973, -0.0733, 1.0323
Step 37, overlap = 0.739, params = -67.1438, -29.8015, -0.0750, 1.0333
Step 38, overlap = 0.739, params = -67.1480, -29.7973, -0.0768, 1.0343
Step 39, overlap = 0.739, params = -67.1438, -29.8015, -0.0785, 1.0353
Step 40, overlap = 0.739, params = -67.1396, -29.7973, -0.0803, 1.0363
Step 41, overlap = 0.739, params = -67.1438, -29.8015, -0.0820, 1.0373
Step 42, overlap = 0.739, params = -67.1396, -29.7973, -0.0838, 1.0383
Step 43, overlap = 0.739, params = -67.1438, -29.8015, -0.0855, 1.0393
Step 44, overlap = 0.739, params = -67.1396, -29.8058, -0.0873, 1.0403
Step 45, overlap = 0.739, params = -67.1354, -29.8015, -0.0890, 1.0413
Step 46, overlap = 0.739, params = -67.1396, -29.8058, -0.0908, 1.0423
Step 47, overlap = 0.739, params = -67.1354, -29.8015, -0.0925, 1.0433
Step 48, overlap = 0.739, params = -67.1312, -29.8058, -0.0942, 1.0443
Step 49, overlap = 0.739, params = -67.1354, -29.8101, -0.0960, 1.0453
Step 50, overlap = 0.739, params = -67.1312, -29.8058, -0.0977, 1.0463
Step 51, overlap = 0.740, params = -67.1270, -29.8101, -0.0995, 1.0473
Step 52, overlap = 0.740, params = -67.1312, -29.8058, -0.1012, 1.0483
Step 53, overlap = 0.740, params = -67.1270, -29.8101, -0.1030, 1.0493
Step 54, overlap = 0.740, params = -67.1228, -29.8144, -0.1047, 1.0503
Step 55, overlap = 0.740, params = -67.1270, -29.8101, -0.1065, 1.0513
Step 56, overlap = 0.740, params = -67.1228, -29.8144, -0.1082, 1.0523
Step 57, overlap = 0.740, params = -67.1186, -29.8101, -0.1100, 1.0533
Step 58, overlap = 0.740, params = -67.1228, -29.8144, -0.1117, 1.0543
Step 59, overlap = 0.740, params = -67.1186, -29.8101, -0.1134, 1.0553
Step 60, overlap = 0.740, params = -67.1228, -29.8144, -0.1152, 1.0563
Step 61, overlap = 0.740, params = -67.1186, -29.8187, -0.1169, 1.0573
Step 62, overlap = 0.740, params = -67.1143, -29.8144, -0.1187, 1.0583
Step 63, overlap = 0.740, params = -67.1186, -29.8187, -0.1204, 1.0593
Step 64, overlap = 0.740, params = -67.1143, -29.8144, -0.1222, 1.0603
Step 65, overlap = 0.740, params = -67.1186, -29.8187, -0.1239, 1.0613
Step 66, overlap = 0.740, params = -67.1143, -29.8230, -0.1257, 1.0623
Step 67, overlap = 0.740, params = -67.1101, -29.8187, -0.1274, 1.0633
Step 68, overlap = 0.740, params = -67.1143, -29.8230, -0.1292, 1.0643
Step 69, overlap = 0.741, params = -67.1101, -29.8187, -0.1309, 1.0653
Step 70, overlap = 0.741, params = -67.1059, -29.8230, -0.1326, 1.0663
Step 71, overlap = 0.741, params = -67.1101, -29.8273, -0.1344, 1.0673
Step 72, overlap = 0.741, params = -67.1059, -29.8230, -0.1361, 1.0683
Step 73, overlap = 0.741, params = -67.1101, -29.8273, -0.1379, 1.0693
Step 74, overlap = 0.741, params = -67.1059, -29.8230, -0.1396, 1.0703
Step 75, overlap = 0.741, params = -67.1017, -29.8273, -0.1414, 1.0713
Step 76, overlap = 0.741, params = -67.1059, -29.8230, -0.1431, 1.0723
Step 77, overlap = 0.741, params = -67.1017, -29.8273, -0.1449, 1.0733
Step 78, overlap = 0.741, params = -67.1059, -29.8230, -0.1466, 1.0743
Step 79, overlap = 0.741, params = -67.1017, -29.8273, -0.1484, 1.0753
Step 80, overlap = 0.741, params = -67.0975, -29.8316, -0.1501, 1.0763
Step 81, overlap = 0.741, params = -67.1017, -29.8273, -0.1518, 1.0773
Step 82, overlap = 0.741, params = -67.0975, -29.8316, -0.1536, 1.0783
Step 83, overlap = 0.741, params = -67.0933, -29.8273, -0.1553, 1.0793
Step 84, overlap = 0.741, params = -67.0975, -29.8316, -0.1571, 1.0803
Step 85, overlap = 0.742, params = -67.0933, -29.8359, -0.1588, 1.0813
Step 86, overlap = 0.742, params = -67.0975, -29.8316, -0.1606, 1.0823
Step 87, overlap = 0.742, params = -67.0933, -29.8359, -0.1623, 1.0833
Step 88, overlap = 0.742, params = -67.0891, -29.8316, -0.1641, 1.0843
Step 89, overlap = 0.742, params = -67.0933, -29.8359, -0.1658, 1.0853
Step 90, overlap = 0.742, params = -67.0891, -29.8401, -0.1676, 1.0863
Step 91, overlap = 0.742, params = -67.0933, -29.8359, -0.1693, 1.0873
Step 92, overlap = 0.742, params = -67.0891, -29.8401, -0.1710, 1.0883
Step 93, overlap = 0.742, params = -67.0933, -29.8359, -0.1728, 1.0893
Step 94, overlap = 0.742, params = -67.0891, -29.8401, -0.1745, 1.0903
Step 95, overlap = 0.742, params = -67.0849, -29.8444, -0.1763, 1.0913
Step 96, overlap = 0.742, params = -67.0891, -29.8401, -0.1780, 1.0923
Step 97, overlap = 0.742, params = -67.0849, -29.8444, -0.1798, 1.0933
Step 98, overlap = 0.742, params = -67.0891, -29.8401, -0.1815, 1.0943
Step 99, overlap = 0.742, params = -67.0849, -29.8444, -0.1833, 1.0953
Step 100, overlap = 0.742, params = -67.0891, -29.8487, -0.1850, 1.0963
Step 101, overlap = 0.743, params = -67.0849, -29.8444, -0.1868, 1.0973
Step 102, overlap = 0.743, params = -67.0806, -29.8487, -0.1885, 1.0983
Step 103, overlap = 0.743, params = -67.0849, -29.8444, -0.1902, 1.0993
Step 104, overlap = 0.743, params = -67.0806, -29.8487, -0.1920, 1.1003
Step 105, overlap = 0.743, params = -67.0849, -29.8444, -0.1937, 1.1013
Step 106, overlap = 0.743, params = -67.0806, -29.8487, -0.1955, 1.1023
Step 107, overlap = 0.743, params = -67.0764, -29.8444, -0.1972, 1.1033
Step 108, overlap = 0.743, params = -67.0806, -29.8487, -0.1990, 1.1043
Step 109, overlap = 0.743, params = -67.0764, -29.8530, -0.2007, 1.1053
Step 110, overlap = 0.743, params = -67.0806, -29.8487, -0.2025, 1.1063
Step 111, overlap = 0.743, params = -67.0764, -29.8530, -0.2042, 1.1073
Step 112, overlap = 0.743, params = -67.0806, -29.8487, -0.2059, 1.1083
Step 113, overlap = 0.743, params = -67.0764, -29.8530, -0.2077, 1.1093
Step 114, overlap = 0.743, params = -67.0806, -29.8573, -0.2094, 1.1103
Step 115, overlap = 0.744, params = -67.0764, -29.8530, -0.2112, 1.1113
Step 116, overlap = 0.744, params = -67.0722, -29.8573, -0.2129, 1.1123
Step 117, overlap = 0.744, params = -67.0764, -29.8616, -0.2147, 1.1133
Step 118, overlap = 0.744, params = -67.0722, -29.8573, -0.2164, 1.1143
Step 119, overlap = 0.744, params = -67.0764, -29.8616, -0.2182, 1.1153
Step 120, overlap = 0.744, params = -67.0722, -29.8573, -0.2199, 1.1163
Step 121, overlap = 0.744, params = -67.0764, -29.8616, -0.2217, 1.1173
