Step 0, overlap = 0.847, params = -65.3479, -26.9676, -0.0175, 0.8573
Step 1, overlap = 0.851, params = -65.3649, -26.9872, -0.0349, 0.8473
Step 2, overlap = 0.854, params = -65.3479, -27.0067, -0.0524, 0.8373
Step 3, overlap = 0.855, params = -65.3649, -27.0263, -0.0698, 0.8273
Step 4, overlap = 0.858, params = -65.3818, -27.0067, -0.0873, 0.8173
Step 5, overlap = 0.861, params = -65.3649, -27.0263, -0.1047, 0.8073
Step 6, overlap = 0.864, params = -65.3818, -27.0067, -0.1222, 0.7973
Step 7, overlap = 0.867, params = -65.3649, -27.0263, -0.1396, 0.7873
Step 8, overlap = 0.871, params = -65.3818, -27.0067, -0.1571, 0.7773
Step 9, overlap = 0.873, params = -65.3649, -27.0263, -0.1745, 0.7673
Step 10, overlap = 0.879, params = -65.3818, -27.0067, -0.1920, 0.7573
Step 11, overlap = 0.879, params = -65.3649, -27.0263, -0.2094, 0.7473
Step 12, overlap = 0.884, params = -65.3479, -27.0067, -0.2269, 0.7373
Step 13, overlap = 0.885, params = -65.3649, -27.0263, -0.2443, 0.7273
Step 14, overlap = 0.889, params = -65.3479, -27.0067, -0.2618, 0.7173
Step 15, overlap = 0.890, params = -65.3649, -27.0263, -0.2793, 0.7073
Step 16, overlap = 0.893, params = -65.3818, -27.0067, -0.2967, 0.6973
Step 17, overlap = 0.892, params = -65.3649, -27.0263, -0.3142, 0.6873
Step 18, overlap = 0.894, params = -65.3818, -27.0067, -0.3316, 0.6773
Step 19, overlap = 0.893, params = -65.3649, -27.0263, -0.3491, 0.6873
Step 20, overlap = 0.893, params = -65.3818, -27.0067, -0.3665, 0.6773
Step 21, overlap = 0.893, params = -65.3649, -27.0263, -0.3491, 0.6873
Step 22, overlap = 0.894, params = -65.3665, -27.0243, -0.3473, 0.6863
Step 23, overlap = 0.894, params = -65.3682, -27.0224, -0.3456, 0.6853
Step 24, overlap = 0.894, params = -65.3699, -27.0204, -0.3438, 0.6843
Step 25, overlap = 0.895, params = -65.3716, -27.0185, -0.3421, 0.6833
Step 26, overlap = 0.895, params = -65.3733, -27.0165, -0.3403, 0.6823
Step 27, overlap = 0.895, params = -65.3716, -27.0146, -0.3386, 0.6813
Step 28, overlap = 0.895, params = -65.3733, -27.0126, -0.3368, 0.6803
Step 29, overlap = 0.895, params = -65.3716, -27.0106, -0.3386, 0.6813
Step 30, overlap = 0.895, params = -65.3699, -27.0087, -0.3368, 0.6803
Step 31, overlap = 0.895, params = -65.3716, -27.0067, -0.3386, 0.6793
Step 32, overlap = 0.896, params = -65.3699, -27.0048, -0.3403, 0.6803
Step 33, overlap = 0.896, params = -65.3682, -27.0028, -0.3386, 0.6793
Step 34, overlap = 0.896, params = -65.3699, -27.0009, -0.3368, 0.6783
Step 35, overlap = 0.896, params = -65.3682, -26.9989, -0.3386, 0.6793
Step 36, overlap = 0.896, params = -65.3665, -26.9970, -0.3368, 0.6783
Step 37, overlap = 0.896, params = -65.3682, -26.9950, -0.3386, 0.6773
Step 38, overlap = 0.896, params = -65.3665, -26.9930, -0.3368, 0.6783
Step 39, overlap = 0.896, params = -65.3649, -26.9911, -0.3386, 0.6773
Step 40, overlap = 0.896, params = -65.3665, -26.9930, -0.3368, 0.6763
Step 41, overlap = 0.896, params = -65.3649, -26.9911, -0.3386, 0.6753
Step 42, overlap = 0.896, params = -65.3632, -26.9930, -0.3368, 0.6743
Step 43, overlap = 0.896, params = -65.3649, -26.9911, -0.3386, 0.6733
Step 44, overlap = 0.896, params = -65.3632, -26.9930, -0.3368, 0.6743
