Step 0, overlap = 0.755, params = -65.7950, -23.2917, -0.0175, 1.0911
Step 1, overlap = 0.762, params = -65.8256, -23.2633, -0.0349, 1.1011
Step 2, overlap = 0.769, params = -65.8562, -23.2350, -0.0524, 1.1111
Step 3, overlap = 0.775, params = -65.8868, -23.2067, -0.0698, 1.1211
Step 4, overlap = 0.777, params = -65.9174, -23.1784, -0.0873, 1.1111
Step 5, overlap = 0.776, params = -65.9481, -23.2067, -0.1047, 1.1011
Step 6, overlap = 0.777, params = -65.9174, -23.1784, -0.1222, 1.0911
Step 7, overlap = 0.777, params = -65.9481, -23.2067, -0.1047, 1.0811
Step 8, overlap = 0.776, params = -65.9787, -23.1784, -0.1222, 1.0711
Step 9, overlap = 0.779, params = -65.9481, -23.1500, -0.1047, 1.0611
Step 10, overlap = 0.778, params = -65.9787, -23.1784, -0.0873, 1.0511
Step 11, overlap = 0.780, params = -65.9481, -23.1500, -0.0698, 1.0411
Step 12, overlap = 0.779, params = -65.9787, -23.1784, -0.0524, 1.0311
Step 13, overlap = 0.780, params = -65.9481, -23.1500, -0.0349, 1.0211
Step 14, overlap = 0.779, params = -65.9787, -23.1784, -0.0524, 1.0311
Step 15, overlap = 0.779, params = -65.9756, -23.1755, -0.0506, 1.0301
Step 16, overlap = 0.779, params = -65.9726, -23.1727, -0.0489, 1.0291
Step 17, overlap = 0.780, params = -65.9695, -23.1699, -0.0471, 1.0281
Step 18, overlap = 0.780, params = -65.9664, -23.1670, -0.0454, 1.0271
Step 19, overlap = 0.780, params = -65.9634, -23.1642, -0.0436, 1.0261
Step 20, overlap = 0.780, params = -65.9603, -23.1614, -0.0419, 1.0251
Step 21, overlap = 0.780, params = -65.9634, -23.1585, -0.0401, 1.0241
Step 22, overlap = 0.780, params = -65.9664, -23.1557, -0.0384, 1.0231
Step 23, overlap = 0.780, params = -65.9695, -23.1529, -0.0367, 1.0221
Step 24, overlap = 0.781, params = -65.9664, -23.1500, -0.0349, 1.0211
Step 25, overlap = 0.781, params = -65.9695, -23.1472, -0.0332, 1.0201
Step 26, overlap = 0.781, params = -65.9726, -23.1500, -0.0349, 1.0191
Step 27, overlap = 0.781, params = -65.9695, -23.1472, -0.0332, 1.0181
Step 28, overlap = 0.781, params = -65.9726, -23.1500, -0.0349, 1.0191
