Step 0, overlap = 0.683, params = -64.7522, -24.2551, 0.0175, 1.3995
Step 1, overlap = 0.690, params = -64.6900, -24.2109, 0.0349, 1.3895
Step 2, overlap = 0.696, params = -64.6277, -24.2551, 0.0524, 1.3795
Step 3, overlap = 0.702, params = -64.5654, -24.2109, 0.0698, 1.3695
Step 4, overlap = 0.708, params = -64.5032, -24.1667, 0.0873, 1.3595
Step 5, overlap = 0.708, params = -64.5654, -24.2109, 0.1047, 1.3495
Step 6, overlap = 0.712, params = -64.5032, -24.1667, 0.1222, 1.3595
Step 7, overlap = 0.714, params = -64.5654, -24.2109, 0.1396, 1.3495
Step 8, overlap = 0.716, params = -64.5032, -24.2551, 0.1571, 1.3595
Step 9, overlap = 0.720, params = -64.5654, -24.2109, 0.1745, 1.3695
Step 10, overlap = 0.722, params = -64.6277, -24.2551, 0.1920, 1.3795
Step 11, overlap = 0.724, params = -64.5654, -24.2993, 0.2094, 1.3895
Step 12, overlap = 0.729, params = -64.6277, -24.2551, 0.2269, 1.3995
Step 13, overlap = 0.731, params = -64.6900, -24.2993, 0.2443, 1.4095
Step 14, overlap = 0.734, params = -64.7522, -24.3435, 0.2618, 1.4195
Step 15, overlap = 0.737, params = -64.8145, -24.2993, 0.2793, 1.4295
Step 16, overlap = 0.741, params = -64.7522, -24.3435, 0.2967, 1.4395
Step 17, overlap = 0.743, params = -64.8145, -24.2993, 0.3142, 1.4495
Step 18, overlap = 0.747, params = -64.7522, -24.3435, 0.3316, 1.4595
Step 19, overlap = 0.748, params = -64.8145, -24.2993, 0.3491, 1.4695
Step 20, overlap = 0.753, params = -64.7522, -24.3435, 0.3665, 1.4795
Step 21, overlap = 0.756, params = -64.6900, -24.3876, 0.3840, 1.4895
Step 22, overlap = 0.759, params = -64.7522, -24.3435, 0.4014, 1.4995
Step 23, overlap = 0.762, params = -64.6900, -24.3876, 0.4189, 1.5095
Step 24, overlap = 0.765, params = -64.7522, -24.3435, 0.4363, 1.5195
Step 25, overlap = 0.767, params = -64.6900, -24.3876, 0.4538, 1.5295
Step 26, overlap = 0.770, params = -64.7522, -24.3435, 0.4712, 1.5395
Step 27, overlap = 0.772, params = -64.6900, -24.3876, 0.4887, 1.5495
Step 28, overlap = 0.773, params = -64.7522, -24.3435, 0.5061, 1.5595
Step 29, overlap = 0.774, params = -64.6900, -24.3876, 0.5236, 1.5695
Step 30, overlap = 0.774, params = -64.7522, -24.3435, 0.5411, 1.5795
Step 31, overlap = 0.775, params = -64.6900, -24.3876, 0.5236, 1.5895
Step 32, overlap = 0.775, params = -64.7522, -24.3435, 0.5411, 1.5995
Step 33, overlap = 0.776, params = -64.6900, -24.3876, 0.5236, 1.6095
Step 34, overlap = 0.776, params = -64.7522, -24.3435, 0.5411, 1.6195
Step 35, overlap = 0.777, params = -64.6900, -24.3876, 0.5236, 1.6295
Step 36, overlap = 0.777, params = -64.7522, -24.3435, 0.5411, 1.6395
Step 37, overlap = 0.778, params = -64.6900, -24.3876, 0.5236, 1.6495
Step 38, overlap = 0.778, params = -64.7522, -24.3435, 0.5061, 1.6595
Step 39, overlap = 0.778, params = -64.6900, -24.3876, 0.4887, 1.6695
Step 40, overlap = 0.779, params = -64.7522, -24.3435, 0.5061, 1.6795
Step 41, overlap = 0.779, params = -64.6900, -24.3876, 0.4887, 1.6895
Step 42, overlap = 0.780, params = -64.7522, -24.3435, 0.5061, 1.6995
Step 43, overlap = 0.779, params = -64.6900, -24.3876, 0.4887, 1.7095
Step 44, overlap = 0.781, params = -64.7522, -24.3435, 0.5061, 1.7195
Step 45, overlap = 0.780, params = -64.8145, -24.3876, 0.4887, 1.7295
Step 46, overlap = 0.782, params = -64.7522, -24.3435, 0.5061, 1.7395
Step 47, overlap = 0.780, params = -64.8145, -24.3876, 0.4887, 1.7495
Step 48, overlap = 0.782, params = -64.7522, -24.3435, 0.5061, 1.7595
Step 49, overlap = 0.780, params = -64.8145, -24.3876, 0.4887, 1.7695
Step 50, overlap = 0.783, params = -64.7522, -24.3435, 0.5061, 1.7795
Step 51, overlap = 0.781, params = -64.8145, -24.3876, 0.4887, 1.7895
Step 52, overlap = 0.783, params = -64.7522, -24.3435, 0.5061, 1.7795
Step 53, overlap = 0.783, params = -64.7460, -24.3479, 0.5044, 1.7805
Step 54, overlap = 0.783, params = -64.7398, -24.3523, 0.5027, 1.7815
