Step 0, overlap = 0.827, params = -60.6252, -36.5981, 0.0175, 0.8743
Step 1, overlap = 0.834, params = -60.6924, -36.6759, 0.0349, 0.8843
Step 2, overlap = 0.837, params = -60.7596, -36.5981, 0.0524, 0.8943
Step 3, overlap = 0.834, params = -60.8268, -36.6759, 0.0349, 0.9043
Step 4, overlap = 0.841, params = -60.7596, -36.5981, 0.0524, 0.9143
Step 5, overlap = 0.843, params = -60.6924, -36.6759, 0.0349, 0.9243
Step 6, overlap = 0.842, params = -60.7596, -36.5981, 0.0175, 0.9343
Step 7, overlap = 0.849, params = -60.6924, -36.5204, 0.0349, 0.9443
Step 8, overlap = 0.843, params = -60.7596, -36.5981, 0.0175, 0.9543
Step 9, overlap = 0.852, params = -60.6924, -36.5204, 0.0349, 0.9643
Step 10, overlap = 0.855, params = -60.6252, -36.4426, 0.0524, 0.9743
Step 11, overlap = 0.854, params = -60.6924, -36.5204, 0.0349, 0.9843
Step 12, overlap = 0.859, params = -60.6252, -36.4426, 0.0524, 0.9943
Step 13, overlap = 0.860, params = -60.5580, -36.5204, 0.0349, 1.0043
Step 14, overlap = 0.862, params = -60.6252, -36.4426, 0.0524, 1.0143
Step 15, overlap = 0.866, params = -60.5580, -36.3649, 0.0698, 1.0243
Step 16, overlap = 0.865, params = -60.6252, -36.4426, 0.0873, 1.0343
Step 17, overlap = 0.870, params = -60.5580, -36.3649, 0.1047, 1.0443
Step 18, overlap = 0.868, params = -60.6252, -36.4426, 0.0873, 1.0543
Step 19, overlap = 0.873, params = -60.5580, -36.3649, 0.1047, 1.0643
Step 20, overlap = 0.875, params = -60.4908, -36.2871, 0.1222, 1.0743
Step 21, overlap = 0.876, params = -60.5580, -36.3649, 0.1396, 1.0843
Step 22, overlap = 0.879, params = -60.4908, -36.2871, 0.1571, 1.0943
Step 23, overlap = 0.880, params = -60.5580, -36.3649, 0.1745, 1.1043
Step 24, overlap = 0.883, params = -60.4908, -36.2871, 0.1920, 1.1143
Step 25, overlap = 0.883, params = -60.5580, -36.3649, 0.2094, 1.1243
Step 26, overlap = 0.884, params = -60.4908, -36.4426, 0.2269, 1.1343
Step 27, overlap = 0.886, params = -60.5580, -36.3649, 0.2094, 1.1443
Step 28, overlap = 0.886, params = -60.4908, -36.4426, 0.2269, 1.1543
Step 29, overlap = 0.889, params = -60.5580, -36.3649, 0.2094, 1.1643
Step 30, overlap = 0.889, params = -60.4908, -36.4426, 0.2269, 1.1743
Step 31, overlap = 0.890, params = -60.5580, -36.3649, 0.2443, 1.1843
Step 32, overlap = 0.891, params = -60.4908, -36.4426, 0.2269, 1.1943
Step 33, overlap = 0.891, params = -60.5580, -36.3649, 0.2094, 1.2043
Step 34, overlap = 0.892, params = -60.4908, -36.4426, 0.1920, 1.2143
Step 35, overlap = 0.895, params = -60.4235, -36.3649, 0.2094, 1.2243
Step 36, overlap = 0.893, params = -60.4908, -36.4426, 0.1920, 1.2343
Step 37, overlap = 0.896, params = -60.4235, -36.3649, 0.2094, 1.2443
Step 38, overlap = 0.893, params = -60.4908, -36.4426, 0.1920, 1.2343
Step 39, overlap = 0.894, params = -60.4840, -36.4349, 0.1937, 1.2353
Step 40, overlap = 0.895, params = -60.4773, -36.4271, 0.1955, 1.2363
Step 41, overlap = 0.895, params = -60.4706, -36.4193, 0.1972, 1.2373
Step 42, overlap = 0.896, params = -60.4639, -36.4115, 0.1990, 1.2383
Step 43, overlap = 0.896, params = -60.4572, -36.4037, 0.1972, 1.2393
Step 44, overlap = 0.896, params = -60.4504, -36.3960, 0.1955, 1.2403
Step 45, overlap = 0.896, params = -60.4437, -36.4037, 0.1972, 1.2413
Step 46, overlap = 0.896, params = -60.4370, -36.3960, 0.1955, 1.2423
Step 47, overlap = 0.896, params = -60.4303, -36.4037, 0.1937, 1.2433
Step 48, overlap = 0.897, params = -60.4235, -36.3960, 0.1920, 1.2443
Step 49, overlap = 0.897, params = -60.4168, -36.3882, 0.1902, 1.2453
Step 50, overlap = 0.897, params = -60.4101, -36.3960, 0.1885, 1.2463
Step 51, overlap = 0.897, params = -60.4168, -36.3882, 0.1868, 1.2473
Step 52, overlap = 0.897, params = -60.4101, -36.3960, 0.1885, 1.2483
Step 53, overlap = 0.897, params = -60.4168, -36.4037, 0.1868, 1.2493
Step 54, overlap = 0.897, params = -60.4101, -36.3960, 0.1850, 1.2503
Step 55, overlap = 0.897, params = -60.4168, -36.4037, 0.1833, 1.2513
Step 56, overlap = 0.897, params = -60.4101, -36.3960, 0.1815, 1.2523
Step 57, overlap = 0.897, params = -60.4034, -36.4037, 0.1798, 1.2533
Step 58, overlap = 0.897, params = -60.4101, -36.3960, 0.1780, 1.2543
Step 59, overlap = 0.897, params = -60.4034, -36.4037, 0.1798, 1.2553
