Step 0, overlap = 0.726, params = -60.9099, -30.6432, -0.0175, 0.6164
Step 1, overlap = 0.740, params = -60.8699, -30.5794, -0.0349, 0.6064
Step 2, overlap = 0.755, params = -60.8299, -30.5155, -0.0524, 0.5964
Step 3, overlap = 0.770, params = -60.7900, -30.4517, -0.0698, 0.5864
Step 4, overlap = 0.784, params = -60.7500, -30.3879, -0.0873, 0.5764
Step 5, overlap = 0.791, params = -60.7100, -30.3240, -0.1047, 0.5664
Step 6, overlap = 0.793, params = -60.7500, -30.3879, -0.1222, 0.5564
Step 7, overlap = 0.796, params = -60.7900, -30.3240, -0.1396, 0.5464
Step 8, overlap = 0.796, params = -60.7500, -30.3879, -0.1571, 0.5364
Step 9, overlap = 0.800, params = -60.7900, -30.3240, -0.1396, 0.5264
Step 10, overlap = 0.805, params = -60.8299, -30.3879, -0.1571, 0.5164
Step 11, overlap = 0.809, params = -60.8699, -30.4517, -0.1745, 0.5064
Step 12, overlap = 0.812, params = -60.9099, -30.5155, -0.1920, 0.4964
Step 13, overlap = 0.815, params = -60.9499, -30.5794, -0.2094, 0.4864
Step 14, overlap = 0.817, params = -60.9899, -30.6432, -0.2269, 0.4764
Step 15, overlap = 0.814, params = -61.0299, -30.5794, -0.2094, 0.4664
Step 16, overlap = 0.824, params = -60.9899, -30.6432, -0.2269, 0.4564
Step 17, overlap = 0.826, params = -61.0299, -30.7071, -0.2094, 0.4464
Step 18, overlap = 0.829, params = -60.9899, -30.7709, -0.2269, 0.4364
Step 19, overlap = 0.832, params = -61.0299, -30.7071, -0.2094, 0.4264
Step 20, overlap = 0.838, params = -60.9899, -30.7709, -0.1920, 0.4164
Step 21, overlap = 0.837, params = -61.0299, -30.8347, -0.1745, 0.4064
Step 22, overlap = 0.841, params = -60.9899, -30.7709, -0.1571, 0.3964
Step 23, overlap = 0.844, params = -60.9499, -30.8347, -0.1396, 0.3864
Step 24, overlap = 0.844, params = -60.9899, -30.8986, -0.1222, 0.3764
Step 25, overlap = 0.845, params = -60.9499, -30.9624, -0.1396, 0.3664
Step 26, overlap = 0.845, params = -60.9899, -30.8986, -0.1222, 0.3564
Step 27, overlap = 0.844, params = -61.0299, -30.9624, -0.1396, 0.3664
Step 28, overlap = 0.845, params = -60.9899, -30.8986, -0.1571, 0.3564
Step 29, overlap = 0.846, params = -60.9499, -30.9624, -0.1396, 0.3464
Step 30, overlap = 0.847, params = -60.9899, -31.0263, -0.1571, 0.3364
Step 31, overlap = 0.847, params = -61.0299, -31.0901, -0.1396, 0.3264
Step 32, overlap = 0.845, params = -61.0699, -31.1540, -0.1571, 0.3164
Step 33, overlap = 0.842, params = -61.0299, -31.2178, -0.1396, 0.3064
Step 34, overlap = 0.843, params = -61.0699, -31.1540, -0.1571, 0.2964
Step 35, overlap = 0.842, params = -61.1099, -31.2178, -0.1745, 0.3064
Step 36, overlap = 0.843, params = -61.0699, -31.1540, -0.1571, 0.2964
Step 37, overlap = 0.844, params = -61.0659, -31.1603, -0.1588, 0.2974
Step 38, overlap = 0.844, params = -61.0619, -31.1667, -0.1606, 0.2984
Step 39, overlap = 0.845, params = -61.0579, -31.1731, -0.1623, 0.2994
Step 40, overlap = 0.845, params = -61.0539, -31.1795, -0.1641, 0.3004
Step 41, overlap = 0.845, params = -61.0499, -31.1859, -0.1658, 0.3014
Step 42, overlap = 0.845, params = -61.0539, -31.1795, -0.1676, 0.3024
Step 43, overlap = 0.845, params = -61.0499, -31.1731, -0.1658, 0.3034
Step 44, overlap = 0.845, params = -61.0459, -31.1667, -0.1641, 0.3044
Step 45, overlap = 0.846, params = -61.0419, -31.1603, -0.1658, 0.3054
Step 46, overlap = 0.846, params = -61.0379, -31.1540, -0.1676, 0.3064
Step 47, overlap = 0.846, params = -61.0339, -31.1476, -0.1693, 0.3074
Step 48, overlap = 0.846, params = -61.0299, -31.1540, -0.1676, 0.3084
Step 49, overlap = 0.846, params = -61.0339, -31.1476, -0.1693, 0.3094
Step 50, overlap = 0.846, params = -61.0299, -31.1412, -0.1676, 0.3104
Step 51, overlap = 0.846, params = -61.0259, -31.1348, -0.1658, 0.3114
Step 52, overlap = 0.846, params = -61.0299, -31.1284, -0.1676, 0.3124
Step 53, overlap = 0.847, params = -61.0259, -31.1348, -0.1658, 0.3134
Step 54, overlap = 0.847, params = -61.0219, -31.1284, -0.1641, 0.3144
Step 55, overlap = 0.847, params = -61.0259, -31.1220, -0.1658, 0.3154
Step 56, overlap = 0.847, params = -61.0219, -31.1157, -0.1641, 0.3164
Step 57, overlap = 0.847, params = -61.0179, -31.1093, -0.1623, 0.3174
Step 58, overlap = 0.847, params = -61.0219, -31.1029, -0.1641, 0.3184
Step 59, overlap = 0.847, params = -61.0179, -31.1093, -0.1623, 0.3194
Step 60, overlap = 0.847, params = -61.0139, -31.1029, -0.1606, 0.3204
Step 61, overlap = 0.847, params = -61.0099, -31.0965, -0.1588, 0.3214
Step 62, overlap = 0.847, params = -61.0139, -31.0901, -0.1606, 0.3224
Step 63, overlap = 0.847, params = -61.0099, -31.0965, -0.1588, 0.3234
Step 64, overlap = 0.847, params = -61.0139, -31.0901, -0.1571, 0.3224
Step 65, overlap = 0.847, params = -61.0099, -31.0837, -0.1553, 0.3234
Step 66, overlap = 0.847, params = -61.0139, -31.0773, -0.1571, 0.3244
Step 67, overlap = 0.847, params = -61.0099, -31.0837, -0.1553, 0.3254
Step 68, overlap = 0.847, params = -61.0059, -31.0773, -0.1536, 0.3244
Step 69, overlap = 0.847, params = -61.0099, -31.0710, -0.1553, 0.3254
Step 70, overlap = 0.848, params = -61.0059, -31.0773, -0.1536, 0.3264
Step 71, overlap = 0.848, params = -61.0099, -31.0710, -0.1518, 0.3274
Step 72, overlap = 0.848, params = -61.0059, -31.0773, -0.1501, 0.3284
Step 73, overlap = 0.848, params = -61.0099, -31.0710, -0.1518, 0.3274
