Step 0, overlap = 0.821, params = -67.1382, -40.4500, -0.0175, 2.0721
Step 1, overlap = 0.830, params = -67.0469, -40.4058, 0.0000, 2.0821
Step 2, overlap = 0.826, params = -66.9557, -40.4500, -0.0175, 2.0921
Step 3, overlap = 0.835, params = -66.8645, -40.4058, 0.0000, 2.1021
Step 4, overlap = 0.831, params = -66.7733, -40.4500, -0.0175, 2.1121
Step 5, overlap = 0.836, params = -66.8645, -40.4058, 0.0000, 2.1221
Step 6, overlap = 0.831, params = -66.7733, -40.4500, -0.0175, 2.1121
Step 7, overlap = 0.832, params = -66.7641, -40.4456, -0.0157, 2.1131
Step 8, overlap = 0.832, params = -66.7733, -40.4412, -0.0140, 2.1141
Step 9, overlap = 0.833, params = -66.7641, -40.4367, -0.0122, 2.1151
Step 10, overlap = 0.834, params = -66.7733, -40.4323, -0.0105, 2.1161
Step 11, overlap = 0.835, params = -66.7641, -40.4279, -0.0087, 2.1171
Step 12, overlap = 0.835, params = -66.7733, -40.4235, -0.0070, 2.1181
Step 13, overlap = 0.836, params = -66.7641, -40.4190, -0.0052, 2.1191
Step 14, overlap = 0.837, params = -66.7550, -40.4146, -0.0035, 2.1201
Step 15, overlap = 0.837, params = -66.7641, -40.4102, -0.0017, 2.1211
Step 16, overlap = 0.837, params = -66.7550, -40.4146, 0.0000, 2.1221
Step 17, overlap = 0.837, params = -66.7641, -40.4102, -0.0017, 2.1231
Step 18, overlap = 0.837, params = -66.7733, -40.4146, 0.0000, 2.1241
Step 19, overlap = 0.837, params = -66.7641, -40.4102, -0.0017, 2.1251
Step 20, overlap = 0.837, params = -66.7733, -40.4146, 0.0000, 2.1241
